node             50%	sd	2.5%	97.5%	Rhat	n.eff   scen    NMA		
SMD[14,1]	-0.2246	0.082	-0.3876	-0.0645	1.001	27000	1	3
SMD[3,2]	0.0866	0.1258	-0.1643	0.3322	1.001	27000	1	3
SMD[4,2]	0.0214	0.1365	-0.2389	0.2967	1.001	27000	1	3
SMD[5,2]	0.1829	0.1029	-0.0208	0.3825	1.001	27000	1	3
SMD[6,2]	0.679	0.2611	0.1671	1.192	1.001	19000	1	3
SMD[7,2]	-0.184	0.0785	-0.3394	-0.0327	1.0012	8500	1	3
SMD[8,2]	0.3126	0.1409	0.034	0.5884	1.001	27000	1	3
SMD[9,2]	0.0104	0.0858	-0.1618	0.1764	1.001	19000	1	3
SMD[10,2]	-0.0525	0.082	-0.2139	0.111	1.0011	14000	1	3
SMD[11,2]	-0.1317	0.087	-0.3061	0.0381	1.001	24000	1	3
SMD[12,2]	0.0152	0.0927	-0.1695	0.1971	1.001	27000	1	3
SMD[13,2]	0.4288	0.1049	0.22	0.6327	1.0012	7100	1	3
SMD[14,2]	0.165	0.1038	-0.042	0.3653	1.001	24000	1	3
SMD[4,3]	-0.0644	0.163	-0.3773	0.2599	1.001	27000	1	3
SMD[5,3]	0.0949	0.1293	-0.1564	0.3531	1.001	27000	1	3
SMD[6,3]	0.5913	0.2747	0.0552	1.1347	1.001	27000	1	3
SMD[7,3]	-0.2723	0.1221	-0.514	-0.0286	1.001	27000	1	3
SMD[8,3]	0.2258	0.1658	-0.1039	0.5524	1.001	27000	1	3
SMD[9,3]	-0.0761	0.1233	-0.3207	0.165	1.0009	27000	1	3
SMD[10,3]	-0.1396	0.1068	-0.3484	0.0742	1.001	27000	1	3
SMD[11,3]	-0.2175	0.1223	-0.4583	0.0264	1.0009	27000	1	3
SMD[12,3]	-0.0709	0.1269	-0.3193	0.1772	1.001	27000	1	3
SMD[13,3]	0.3407	0.1358	0.072	0.6114	1.001	27000	1	3
SMD[14,3]	0.0775	0.1356	-0.189	0.3435	1.001	27000	1	3
SMD[5,4]	0.16	0.1418	-0.1216	0.4334	1.001	25000	1	3
SMD[6,4]	0.6567	0.281	0.0999	1.2059	1.0011	18000	1	3
SMD[7,4]	-0.2061	0.1304	-0.466	0.0451	1.0011	12000	1	3
SMD[8,4]	0.292	0.1742	-0.0591	0.6289	1.001	27000	1	3
SMD[9,4]	-0.0122	0.1322	-0.279	0.2396	1.001	27000	1	3
SMD[10,4]	-0.0752	0.1306	-0.3357	0.1777	1.001	23000	1	3
SMD[11,4]	-0.1536	0.1355	-0.4238	0.1068	1.001	27000	1	3
SMD[12,4]	-0.0059	0.1395	-0.2898	0.2594	1.001	27000	1	3
SMD[13,4]	0.407	0.1463	0.1113	0.6873	1.001	20000	1	3
SMD[14,4]	0.1424	0.1465	-0.1547	0.4211	1.001	27000	1	3
SMD[6,5]	0.4982	0.2646	-0.0205	1.0191	1.001	27000	1	3
SMD[7,5]	-0.3666	0.0977	-0.5597	-0.1751	1.001	27000	1	3
SMD[8,5]	0.1311	0.1487	-0.1662	0.4211	1.0009	27000	1	3
SMD[9,5]	-0.172	0.0976	-0.3652	0.0173	1.001	27000	1	3
SMD[10,5]	-0.2349	0.082	-0.3966	-0.0725	1.001	27000	1	3
SMD[11,5]	-0.3141	0.0976	-0.5061	-0.1218	1.001	27000	1	3
SMD[12,5]	-0.167	0.1043	-0.3716	0.0396	1.001	27000	1	3
SMD[13,5]	0.2466	0.1145	0.0202	0.4682	1.0012	8900	1	3
SMD[14,5]	-0.0187	0.1143	-0.2447	0.2056	1.0011	14000	1	3
SMD[7,6]	-0.8627	0.2598	-1.378	-0.3566	1.001	27000	1	3
SMD[8,6]	-0.3673	0.2822	-0.9256	0.1867	1.001	27000	1	3
SMD[9,6]	-0.6692	0.2606	-1.181	-0.1523	1.001	27000	1	3
SMD[10,6]	-0.7311	0.2577	-1.24	-0.2241	1.001	27000	1	3
SMD[11,6]	-0.8126	0.2595	-1.3231	-0.2984	1.001	27000	1	3
SMD[12,6]	-0.665	0.262	-1.1828	-0.1491	1.001	27000	1	3
SMD[13,6]	-0.2519	0.2662	-0.7768	0.2714	1.001	24000	1	3
SMD[14,6]	-0.5155	0.2655	-1.041	0.0035	1.0011	17000	1	3
SMD[8,7]	0.4979	0.1384	0.2244	0.7707	1.001	27000	1	3
SMD[9,7]	0.1937	0.0839	0.0303	0.36	1.0011	14000	1	3
SMD[10,7]	0.1316	0.0733	-0.0118	0.2776	1.001	27000	1	3
SMD[11,7]	0.0535	0.0771	-0.0995	0.2045	1.0011	17000	1	3
SMD[12,7]	0.1999	0.0863	0.0277	0.3692	1.001	19000	1	3
SMD[13,7]	0.6125	0.1016	0.4139	0.8135	1.0012	6600	1	3
SMD[14,7]	0.3486	0.0956	0.1589	0.5373	1.0013	6500	1	3
SMD[9,8]	-0.3043	0.1274	-0.5513	-0.0524	1.001	27000	1	3
SMD[10,8]	-0.366	0.1355	-0.627	-0.0951	1.0009	27000	1	3
SMD[11,8]	-0.4445	0.1381	-0.7123	-0.1721	1.001	27000	1	3
SMD[12,8]	-0.2977	0.1405	-0.5726	-0.0226	1.001	27000	1	3
SMD[13,8]	0.1148	0.1469	-0.1688	0.4032	1.001	19000	1	3
SMD[14,8]	-0.1496	0.1494	-0.4381	0.1472	1.001	27000	1	3
SMD[10,9]	-0.0629	0.0764	-0.2105	0.0895	1.001	27000	1	3
SMD[11,9]	-0.1415	0.0834	-0.306	0.0242	1.0009	27000	1	3
SMD[12,9]	0.0049	0.0833	-0.1583	0.1688	1.001	27000	1	3
SMD[13,9]	0.4179	0.0944	0.2334	0.6066	1.001	23000	1	3
SMD[14,9]	0.1539	0.1023	-0.0478	0.3562	1.001	27000	1	3
SMD[11,10]	-0.0776	0.074	-0.226	0.0652	1.001	27000	1	3
SMD[12,10]	0.0676	0.084	-0.0989	0.2302	1.001	27000	1	3
SMD[13,10]	0.4815	0.0968	0.2908	0.6722	1.0011	13000	1	3
SMD[14,10]	0.2168	0.0966	0.0245	0.4046	1.0011	15000	1	3
SMD[12,11]	0.1461	0.0841	-0.0186	0.3108	1.001	27000	1	3
SMD[13,11]	0.5599	0.1013	0.3592	0.7595	1.0011	15000	1	3
SMD[14,11]	0.2944	0.0995	0.0984	0.4915	1.001	27000	1	3
SMD[13,12]	0.413	0.1053	0.2086	0.6225	1.0011	11000	1	3
SMD[14,12]	0.1488	0.106	-0.0582	0.3593	1.001	27000	1	3
SMD[14,13]	-0.2648	0.1164	-0.4941	-0.036	1.001	25000	1	3
SMD[2,1]	-0.3919	0.0658	-0.5212	-0.2602	1.001	27000	2	3
SMD[3,1]	-0.3063	0.1091	-0.5195	-0.0902	1.001	27000	2	3
SMD[4,1]	-0.3702	0.1221	-0.6062	-0.124	1.0009	27000	2	3
SMD[5,1]	-0.2106	0.0809	-0.3675	-0.0511	1.0011	14000	2	3
SMD[6,1]	0.2759	0.2516	-0.2089	0.7761	1.001	27000	2	3
SMD[7,1]	-0.5765	0.0611	-0.6982	-0.4573	1.0011	17000	2	3
SMD[8,1]	-0.0752	0.1273	-0.3276	0.1712	1.0011	18000	2	3
SMD[9,1]	-0.3802	0.0622	-0.503	-0.2606	1.001	27000	2	3
SMD[10,1]	-0.4457	0.0535	-0.549	-0.3385	1.0011	13000	2	3
SMD[11,1]	-0.5234	0.0602	-0.6433	-0.4052	1.0012	6700	2	3
SMD[12,1]	-0.3773	0.0686	-0.5118	-0.2444	1.001	26000	2	3
SMD[13,1]	0.0371	0.0831	-0.1271	0.2001	1.001	27000	2	3
SMD[14,1]	-0.2296	0.0825	-0.3929	-0.0677	1.0012	7700	2	3
